code,name,suggested_price_from_lab,price
CLTR A,CHLAMYDIA TRACHOMATIS  IgA,5265,$6.844
CLTR G,CHLAMYDIA TRACHOMATIS  IgG,2288,$2.975
CLTR M,CHLAMYDIA TRACHOMATIS  IgM,2288,$2.975
CLTR Ag,CHLAMYDIA TRACHOMATIS Antigeno,16794,$21.832
CCL,CICLOSPORINA,6575,$8.547
CIS,CISTINURIA,2374,$3.086
CMV G,CITOMEGALOVIRUS ANTIC. IgG,734,$954
CMV M,CITOMEGALOVIRUS ANTIC. IgM,734,$954
CMV A,CITOMEGALOVIRUS ANTICUERPO ANTI,1104,$1.435
CMV PCR,CITOMEGALOVIRUS-ADN,29006,$37.707
CIT,CITRICO ACIDO Orina,1001,$1.301
CITRICO,CITRICO ACIDO Suero,601,$781
ACS,CITRICO ACIDO en plasma seminal,3745,$4.869
CBN,CLOBAZAN,3175,$4.127
CNZ,CLONAZEPAN,4931,$6.410
CLO,CLORO PLASMATICO,189,$245
CLOS,CLOSTRIDIUM DIFFICILE TOXINA A+B INVEST.DE,4539,$5.901
CLOZAP,CLOZAPINA DETERMINACION DE,5853,$7.608
COA,COAGULOGRAMA BASICO,612,$795
CU,COBRE EN SANGRE,7957,$10.344
CU-A,COBRE en agua,3795,$4.933
CU-U,COBRE en orina,7956,$10.342
COCAINA,COCAINA en orina,1123,$1.460
COFACTOR,COFACTOR DE RISTOCETINA,6491,$8.438
HDL,COLESTEROL HDL,185,$240
LDL,COLESTEROL LDL,111,$145
COL,COLESTEROL TOTAL,220,$286
VLD,COLESTEROL VLDL,129,$168
COE,COLINESTERASA ERITROCITARIA,749,$974
C50,COMPLEMENTO Actividad total (CH50),861,$1.119
C1T,COMPLEMENTO C1 TOTAL (q+r+s),3809,$4.952
C1Q,COMPLEMENTO C1Q,6596,$8.574
C3,COMPLEMENTO INMUNOQ. C3,396,$515
C4,COMPLEMENTO INMUNOQ. C4,396,$515
CBI,COOMBS AGLUTININAS ANTI Rh,403,$524
CBD,COOMBS DIRECTA PRUEBA,338,$440
CMF,COPROCULTIVO,660,$859
CPO,COPROPORFIRINAS en orina,3046,$3.959
COR,CORTISOL PLASMATICO,507,$659
COR-S,CORTISOL SALIVAL,746,$970
COR-U,CORTISOL URINARIO,507,$659
COR-V,CORTISOL VESPERTINO,506,$658
COX B G,COXSACKIE B1-2-3-4-5-6 (IgG),5769,$7.500
COX B M,COXSACKIE B1-2-3-4-5-6 (M),4834,$6.285
CKM,CPK-MB,704,$915
CDC,CREATININA CLEARENCE O DEPURAC.,367,$478
AS-CR-U,CREATININA en orina,185,$240
CRE,CREATININA en sangre,185,$240
CPK,CREATINQUINASA CPK,416,$541
CRG,CRIOGLOBULINAS,762,$991
CRO-U,CROMO en Orina,5547,$7.210
CROMO,CROMO en Sangre,5547,$7.210
CROSS,CROSS MATCH MATRIMONIAL,58991,$76.688
CRYPTO,CRYPTOCOCCUS NEOFORMANS,1893,$2.461
CALCSAL,Calculo Salival,4821,$6.268
COV,Coronavirus SARS CoV2 (ARN),16180,$21.034
CRUE,Creatinina en orina espontanea,184,$239
DHEAS,DEHIDROEPIANDROSTERONA,3766,$4.896
ALA C,DELTA AMINO-LEVULINICO ACIDO,2092,$2.719
DEN G,DENGUE ANTICUERPO IgG,3432,$4.462
DEN M,DENGUE ANTICUERPO IgM,4528,$5.887
DMD,"DIMERO ""D""",4219,$5.484
DOP,DOPAMINA PLASMATICA,4112,$5.346
DOO,DOPAMINA TOTAL O LIBRE orina,2374,$3.086
ANG,ENZIMA CONVERTIDORA DE ANGIOTENSINA (ECA),5677,$7.380
EB VCA G,EPSTEIN BARR Ac. VCA IgG CAPSIDE,685,$890
EB VCA M,EPSTEIN BARR Ac. VCA IgM CAPSIDE,685,$890
EBNA G,EPSTEIN BARR EARLY ANTIGEN Ac.IgG,3287,$4.273
EPY,ERITROPOYETINA,1802,$2.342
ERI,ERITROSEDIMENTACION,91,$119
ESPC,ESPERMOCULTIVO,954,$1.240
ESP,ESPERMOGRAMA,1101,$1.431
E2,ESTRADIOL PLASMASTICO,478,$622
ALC,ETANOL TOXICO EN SANGRE,627,$815
DOMI,EXTRACCION a DOMICILIO,1611,$2.095
ANAL-EX,EXUDADO ANAL,734,$954
