code,name,suggested_price_from_lab,price
COV,Coronavirus SARS CoV2 (ARN),35320,$45.916
CRUE,Creatinina en orina espontanea,518,$673
DHEAS,DEHIDROEPIANDROSTERONA,12245,$15.919
DEN G,DENGUE ANTICUERPO IgG,9300,$12.090
DEN M,DENGUE ANTICUERPO IgM,10733,$13.952
DMD,"DIMERO ""D""",10510,$13.663
DOP,DOPAMINA PLASMATICA,9950,$12.935
DOO,DOPAMINA TOTAL O LIBRE orina,9830,$12.779
ANG,ENZIMA CONVERTIDORA DE ANGIOTENSINA (ECA),13670,$17.771
EB VCA G,EPSTEIN BARR Ac. VCA IgG CAPSIDE,2068,$2.688
EB VCA M,EPSTEIN BARR Ac. VCA IgM CAPSIDE,2323,$3.019
EBNA G,EPSTEIN BARR EARLY ANTIGEN Ac.IgG,9815,$12.760
EPY,ERITROPOYETINA,3930,$5.109
ERI,ERITROSEDIMENTACION,208,$270
ESPC,ESPERMOCULTIVO,7200,$9.360
ESP,ESPERMOGRAMA,2516,$3.271
E2,ESTRADIOL PLASMASTICO,861,$1.119
DOMI,EXTRACCION a DOMICILIO,3000,$3.900
ANAL-EX,EXUDADO ANAL,4118,$5.353
ENF,EXUDADO DE FAUCES,4118,$5.353
FC2,FACTOR II de coagulacion,2188,$2.844
FC9,FACTOR IX de coagulacion,3645,$4.739
FC5,FACTOR V de coagulacion,3645,$4.739
FC7,FACTOR VII de coagulacion,3730,$4.849
FC8,FACTOR VIII de coagulacion,3645,$4.739
FC10,FACTOR X de coagulacion,3730,$4.849
AFA,FENIL ACETICO ACIDO,10088,$13.114
AFENO,FENILGLIOXILICO ACIDO EN ORINA,6055,$7.872
FEB,FENOBARBITAL,1808,$2.350
FER,FERREMIA,492,$640
FET,FERRITINA,1068,$1.388
FIB,FIBRINOGENO EN SANGRE,598,$777
AFO,FOLICO ACIDO,1660,$2.158
AFO ERI,FOLICO ACIDO ERITROCITARIO,1958,$2.545
AC FORM,FORMICO ACIDO en ORINA,6318,$8.213
FAP,FOSFATASA ACIDA PROSTATICA,428,$556
FAL,FOSFATASA ALCALINA,790,$1.027
FAL-O,FOSFATASA ALCALINA Osea,5445,$7.079
FOU,FOSFATURIA,220,$286
FOS,FOSFORO en sangre,220,$286
ALG,FRUCTOSAMINA,403,$523
FSH,FSH,705,$917
FTA,FTA-ABS por IFI (ac. totales),1378,$1.791
GAs,GASTRINA,2130,$2.769
RGB,GLOBULOS BLANCOS RECUENTO DE,1035,$1.346
RGR,GLOBULOS ROJOS RECUENTO DE,1035,$1.346
GLU,GLUCEMIA,336,$437
GPP,GLUCEMIA POST PRANDIAL,788,$1.024
GGT,GLUTAMIL TRANSPEPTIDASA GAMMA,393,$510
,GONORREA CULTIVO,36730,$47.749
GRU,GRUPO SANGUINEO,1800,$2.340
HPY G,HELICOBACTER PYLORI Elisa IgG,5635,$7.326
HPY M,HELICOBACTER PYLORI Elisa IgM,10493,$13.640
HDH,HEMOGLOBINA ELECTROFORESIS DE,5170,$6.721
HGY,HEMOGLOBINA GLICOSILADA,1145,$1.489
HEM,HEMOGRAMA,800,$1.040
HAV ac G,HEPAT. A  ANTIC.ANTI IgG,1813,$2.356
HAV ac M,HEPAT. A  ANTIC.ANTI IgM,1838,$2.389
HBSAG,HEPAT. B ANTIG. DE SUP (HBsAg),933,$1.212
HBC Ac G,"HEPAT. B Ag. CORE, Ac. IgG",1100,$1.430
HBC Ac M,"HEPAT. B Ag. CORE, Ac. IgM",2248,$2.922
HBS Ac,HEPAT. B Ag. DE SUP  ANTIC.ANTI,1123,$1.459
HB-CV,HEPAT. B CARGA VIRAL,66038,$85.849
HCV G,HEPAT. C ANTIC.ANTI IgG ELISA,1705,$2.217
HBcAc-T,HEPATITIS B - ANTIC ANTI CORE TOTAL,1100,$1.430
HBCORE,HEPATITIS B CORE IGG,1100,$1.430
HEP,HEPATOGRAMA,1388,$1.804
HV1 GE,HERPES I ANTIC ANTI IGG ELISA,3168,$4.118
HV1 ME,HERPES I ANTIC. ANTI IgM ,3868,$5.028
HV2 GE,HERPES II ANTIC. ANTI IgG ,3168,$4.118
HV2 ME,HERPES II ANTIC. ANTI IgM ,3865,$5.025
AC HIP,HIPURICO ACIDO,6383,$8.297
HIV CV,HIV CARGA VIRAL,34573,$44.944
HIV,HIV COMBO - Anticuerpos anti HIV + Antigeno P24,863,$1.121
HMC,HOMOCISTEINA en orina,3728,$4.846
HMS,HOMOCISTEINA en sangre,2513,$3.266
AHO,HOMOVANILICO ACIDO,9213,$11.976
AMH,HORMONA ANTI MULLERIANA,18170,$23.621
ADH,HORMONA ANTIDIURETICA,67923,$88.299
HUD,HUDDLESSON REACCION DE,1558,$2.025
,INMUNOGLOBULINA A - IGA ,830,$1.079
