code,name,suggested_price_from_lab,price
CLTR M,CHLAMYDIA TRACHOMATIS  IgM,3432,$4.462
CLTR Ag,CHLAMYDIA TRACHOMATIS Antigeno,25191,$32.749
CCL,CICLOSPORINA,9862,$12.820
CIS,CISTINURIA,3560,$4.629
CMV G,CITOMEGALOVIRUS ANTIC. IgG,1101,$1.431
CMV M,CITOMEGALOVIRUS ANTIC. IgM,1101,$1.431
CMV A,CITOMEGALOVIRUS ANTICUERPO ANTI,1656,$2.152
CMV PCR,CITOMEGALOVIRUS-ADN,43508,$56.561
CIT,CITRICO ACIDO Orina,1501,$1.951
CITRICO,CITRICO ACIDO Suero,902,$1.172
ACS,CITRICO ACIDO en plasma seminal,5618,$7.304
CBN,CLOBAZAN,4762,$6.190
CNZ,CLONAZEPAN,7396,$9.615
CLO,CLORO PLASMATICO,283,$368
CLOS,CLOSTRIDIUM DIFFICILE TOXINA A+B INVEST.DE,6809,$8.852
CLOZAP,CLOZAPINA DETERMINACION DE,8779,$11.413
COA,COAGULOGRAMA BASICO,917,$1.192
CU,COBRE EN SANGRE,11936,$15.517
CU-A,COBRE en agua,5692,$7.400
CU-U,COBRE en orina,11933,$15.513
COCAINA,COCAINA en orina,1685,$2.190
COFACTOR,COFACTOR DE RISTOCETINA,9736,$12.657
HDL,COLESTEROL HDL,277,$360
LDL,COLESTEROL LDL,167,$217
COL,COLESTEROL TOTAL,330,$429
VLD,COLESTEROL VLDL,193,$251
COE,COLINESTERASA ERITROCITARIA,1124,$1.461
C50,COMPLEMENTO Actividad total (CH50),1291,$1.678
C1T,COMPLEMENTO C1 TOTAL (q+r+s),5714,$7.428
C1Q,COMPLEMENTO C1Q,9893,$12.861
C3,COMPLEMENTO INMUNOQ. C3,594,$772
C4,COMPLEMENTO INMUNOQ. C4,594,$772
CBI,COOMBS AGLUTININAS ANTI Rh,604,$786
CBD,COOMBS DIRECTA PRUEBA,508,$660
CMF,COPROCULTIVO,991,$1.288
CPO,COPROPORFIRINAS en orina,4568,$5.939
COR,CORTISOL PLASMATICO,761,$989
COR-S,CORTISOL SALIVAL,1119,$1.455
COR-U,CORTISOL URINARIO,761,$989
COR-V,CORTISOL VESPERTINO,759,$987
COX B G,COXSACKIE B1-2-3-4-5-6 (IgG),8653,$11.249
COX B M,COXSACKIE B1-2-3-4-5-6 (M),7251,$9.427
CKM,CPK-MB,1056,$1.373
CDC,CREATININA CLEARENCE O DEPURAC.,551,$716
AS-CR-U,CREATININA en orina,277,$360
CRE,CREATININA en sangre,277,$360
CPK,CREATINQUINASA CPK,624,$811
CRG,CRIOGLOBULINAS,1143,$1.486
CRO-U,CROMO en Orina,8320,$10.816
CROMO,CROMO en Sangre,8320,$10.816
CROSS,CROSS MATCH MATRIMONIAL,88486,$115.032
CRYPTO,CRYPTOCOCCUS NEOFORMANS,2840,$3.692
CALCSAL,Calculo Salival,7232,$9.402
COV,Coronavirus SARS CoV2 (ARN),24270,$31.552
CRUE,Creatinina en orina espontanea,276,$358
DHEAS,DEHIDROEPIANDROSTERONA,5649,$7.343
ALA C,DELTA AMINO-LEVULINICO ACIDO,3137,$4.079
DEN G,DENGUE ANTICUERPO IgG,5148,$6.693
DEN M,DENGUE ANTICUERPO IgM,6792,$8.830
DMD,"DIMERO ""D""",6328,$8.226
DOP,DOPAMINA PLASMATICA,6169,$8.019
DOO,DOPAMINA TOTAL O LIBRE orina,3560,$4.629
ANG,ENZIMA CONVERTIDORA DE ANGIOTENSINA (ECA),8516,$11.070
EB VCA G,EPSTEIN BARR Ac. VCA IgG CAPSIDE,1027,$1.335
EB VCA M,EPSTEIN BARR Ac. VCA IgM CAPSIDE,1027,$1.335
EBNA G,EPSTEIN BARR EARLY ANTIGEN Ac.IgG,4931,$6.410
EPY,ERITROPOYETINA,2702,$3.513
ERI,ERITROSEDIMENTACION,137,$178
ESPC,ESPERMOCULTIVO,1431,$1.860
ESP,ESPERMOGRAMA,1651,$2.146
E2,ESTRADIOL PLASMASTICO,717,$932
ALC,ETANOL TOXICO EN SANGRE,940,$1.222
DOMI,EXTRACCION a DOMICILIO,2417,$3.142
ANAL-EX,EXUDADO ANAL,1101,$1.431
ENF,EXUDADO DE FAUCES,1001,$1.301
FC2,FACTOR II de coagulacion,1506,$1.958
FC9,FACTOR IX de coagulacion,2502,$3.252
FC5,FACTOR V de coagulacion,2502,$3.252
FC7,FACTOR VII de coagulacion,2502,$3.252
FC8,FACTOR VIII de coagulacion,2502,$3.252
FC10,FACTOR X de coagulacion,2502,$3.252
FC13,FACTOR XIII DE COAGULACION,42759,$55.587
AFA,FENIL ACETICO ACIDO,6937,$9.018
AFENO,FENILGLIOXILICO ACIDO EN ORINA,4162,$5.411
FEB,FENOBARBITAL,1204,$1.565
FER,FERREMIA,410,$533
FET,FERRITINA,1034,$1.344
FIB,FIBRINOGENO EN SANGRE,321,$418
AFO,FOLICO ACIDO,957,$1.245
AFO ERI,FOLICO ACIDO ERITROCITARIO,1003,$1.304
AC FORM,FORMICO ACIDO en ORINA,4339,$5.640
FAP,FOSFATASA ACIDA PROSTATICA,357,$464
FAL,FOSFATASA ALCALINA,264,$343
