code,name,suggested_price_from_lab,price
DHEAS,SULFATO DEHIDROEPIANDROSTERONA,1357,$2.036
T3,T3 - TRIIODOTIRONINA,1105,$1.658
T3L,T3 LIBRE,1682,$2.523
T4,T4 - TIROXINA TOTAL,543,$815
T4L,T4 LIBRE,1105,$1.658
GHM,TEST DE GRAHAM,965,$1.448
TEB,TESTOSTERONA BIODISPONIBLE,2444,$3.666
TEL,TESTOSTERONA LIBRE en suero,1693,$2.540
TES,TESTOSTERONA PLASMATICA,760,$1.140
TG,TIROGLOBULINA,1300,$1.950
TXG,TOXOPLASMOSIS ANTIC. IgG,1900,$2.850
TX-AVI,TOXOPLASMOSIS ANTIC.ANTI IgG AVIDEZ,6532,$9.798
TXM,TOXOPLASMOSIS IgM-IFI REMINGTON T.DE,2194,$3.291
TGO,TRANSAMINASA GLUTAMICO OXALACETICA,368,$552
TGP,TRANSAMINASA GLUTAMINASA PIRIVICA,368,$552
TRA,TRANSFERRINA,848,$1.272
TGL,TRIGLICERIDOS,799,$1.199
TROPO,TROPONINA T (Tn-T),5802,$8.703
TSH,TSH - TIROTROFINA PLASMATICA,460,$690
CDU,"UREA, CLEARENCE DE",538,$807
UUREAL,UREAPLASMA UREALITICUM CULT.,7061,$10.592
URE,UREMIA,435,$653
AUR,URICO ACIDO,538,$807
AUUE,URICO ACIDO  EN ORINA OCASIONAL,538,$807
AUU2,URICO ACIDO  en orina de 2 hs.,538,$807
AUU,URICO ACIDO orina,538,$807
VDR,V.D.R.L. CUALITATIVA,679,$1.019
VDC,V.D.R.L. CUANTITATIVA,1018,$1.527
FVTIP+,VAGINAL FLUJO C/TIP + Y ANTIBIOG.,7378,$11.067
AVM,VAINILLIN MANDELICO ACIDO,12601,$18.902
VAL,VALPROICO ACIDO,2041,$3.062
VARI G,VARICELA ANTIC.ANTI IgG IFI,7357,$11.036
VARI M,VARICELA ANTIC.ANTI IgM IFI,6052,$9.078
VB1,VITAMINA B1 - TIAMINA,17446,$26.169
B12,VITAMINA B12,1254,$1.881
VB6,VITAMINA B6 - PIRIDOXINA,17446,$26.169
VIC,VITAMINA C - ACIDO ASCORBICO,17446,$26.169
V25,"VITAMINA D3, 25 HIDROXI",4758,$7.137
ZIN,ZINC SERICO,6828,$10.242
