code,name,suggested_price_from_lab,price
TGP,TRANSAMINASA GLUTAMINASA PIRIVICA,449,$674
TRA,TRANSFERRINA,1036,$1.553
TGL,TRIGLICERIDOS,976,$1.464
TROPO,TROPONINA T (Tn-T),7084,$10.626
TSH,TSH - TIROTROFINA PLASMATICA,562,$842
CDU,"UREA, CLEARENCE DE",657,$986
UUREAL,UREAPLASMA UREALITICUM CULT.,8621,$12.932
URE,UREMIA,531,$796
AUR,URICO ACIDO,657,$986
AUUE,URICO ACIDO  EN ORINA OCASIONAL,657,$986
AUU2,URICO ACIDO  en orina de 2 hs.,657,$986
AUU,URICO ACIDO orina,657,$986
UROANT,UROCULTIVO + ANTIBIOGRAMA,6403,$9.604
VDR,V.D.R.L. CUALITATIVA,828,$1.243
VDC,V.D.R.L. CUANTITATIVA,1243,$1.864
FVTIP+,VAGINAL FLUJO C/TIP + Y ANTIBIOG.,9009,$13.514
AVM,VAINILLIN MANDELICO ACIDO,15386,$23.079
VAL,VALPROICO ACIDO,2492,$3.739
VARI G,VARICELA ANTIC.ANTI IgG IFI,8983,$13.475
VARI M,VARICELA ANTIC.ANTI IgM IFI,7389,$11.084
VB1,VITAMINA B1 - TIAMINA,21301,$31.951
B12,VITAMINA B12,1531,$2.296
VB6,VITAMINA B6 - PIRIDOXINA,21301,$31.951
VIC,VITAMINA C - ACIDO ASCORBICO,21301,$31.951
V25,"VITAMINA D3, 25 HIDROXI",5810,$8.715
ZIN,ZINC SERICO,8337,$12.506
