code,name,suggested_price_from_lab,price
LPA,LIPOPROTEINA A,9954, $13.936
LIT,LITIO PLASMATICO,3934, $5.508
ILU,LUPICO ANTICOAGULANTE O INHIBIDOR,30156, $42.218
MGU,MAGNESIO en orina,1295, $1.813
MGS,MAGNESIO en sangre,1295, $1.813
AMANDE,MANDELICO ACIDO,30575, $42.805
PPD,MANTOUX INTRADERMORREACCION,5391, $7.547
MET,METANEFRINA en orina,31468, $44.055
AC METIL,METIL HIPURICO ACIDO  en ORINA,17628, $24.679
MIC1,MICOLOGICO,15591, $21.827
ALB-U2,MICROALBUMINURIA (Orina 2 hs),3146, $4.404
ALB-U,MICROALBUMINURIA - ALBUMINA EN ORINA,4054, $5.676
ALB-UE,MICROALBUMINURIA EN ORINA ESPONTANEA,3146, $4.404
AMAM2,MITOCONDRIAL TIPO 2,23732, $33.225
MONO,MONO TEST,1751, $2.451
MYC,MYCOPLASMA CULTIVO,72163, $101.028
ORI,ORINA COMPLETA,2790, $3.906
PMF,PARAS. MAT FECAL,2790, $3.906
PTH,PARATHORMONA,2637, $3.692
PARO G,PAROTIDITIS ANTIC.ANTI IgG,32458, $45.441
PARO M,PAROTIDITIS ANTIC.ANTI IgM,31817, $44.544
BNP,PRO BNP,56344, $78.882
PRO CAL,PROCALCITONINA,34335, $48.069
PG,PROGESTERONA PLASMATICA,2090, $2.926
PL,PROLACTINA,2009, $2.813
PCR,PCR,4924, $6.894
PPDMAN,PPD MANTOUX,5391, $7.547
PROT C,PROTEINA C FUNCIONAL,26438, $37.013
PCR,PROTEINA C REACTIVA,4925, $6.895
PROS L,PROTEINA S LIBRE,28817, $40.344
PRO,PROTEINAS TOTALES,12459, $17.443
PRU,PROTEINAS URINARIAS 12/24 hs,2589, $3.625
PTG,PROTEINOGRAMA,12459, $17.443
20210,PROTOMBINA 20210,79015, $110.621
PRR,PRUEBA DE ROSSE RAGAN,11099, $15.539
RPCA,RESIST. A LA PROTEINA C ACTIVA,27122, $37.971
RET,RETICULOCITOS,1278, $1.789
RUG,RUBEOLA ANTIC.ANTI IgG ELISA,5148, $7.207
RUM,RUBEOLA ANTIC.ANTI IgM ELISA,4785, $6.699
SOM,SANGRE OCULTA - MATERIA FECAL,4465, $6.251
SAT,SATURACION DE TRANSFERRINA,2609, $3.653
SEL,SELENIO,47798, $66.917
SER,SEROTONINA,34984, $48.978
SER-O,SEROTONINA EN ORINA DE 24HS,43125, $60.375
HGH,SOMATOTROFINA,4269, $5.977
SUBCUAN,SUB UNIDAD BETA CUANTITATIVA,5455, $7.637
SUBCUAL,SUB UNIDAD BETA CUALITATIVA,2728, $3.819
DHEAS,SULFATO DEHIDROEPIANDROSTERONA,3293, $4.610
T3,T3 - TRIIODOTIRONINA,2682, $3.755
T3L,T3 LIBRE,4082, $5.715
T4,T4 - TIROXINA TOTAL,1317, $1.844
T4L,T4 LIBRE,2682, $3.755
GHM,TEST DE GRAHAM,2341, $3.277
TEB,TESTOSTERONA BIODISPONIBLE,5929, $8.301
TEL,TESTOSTERONA LIBRE en suero,4109, $5.753
TES,TESTOSTERONA PLASMATICA,1844, $2.582
TG,TIROGLOBULINA,3153, $4.414
TXG,TOXOPLASMOSIS ANTIC. IgG,4611, $6.455
TX-AVI,TOXOPLASMOSIS ANTIC.ANTI IgG AVIDEZ,15849, $22.189
TXM,TOXOPLASMOSIS IgM-IFI REMINGTON T.DE,5323, $7.452
TRABS,TRABS,20768, $29.075
TGO,TRANSAMINASA GLUTAMICO OXALACETICA (TGO/GOT),893, $1.250
TGP,TRANSAMINASA GLUTAMINASA PIRIVICA (TGP- GPT),893, $1.250
TRA,TRANSFERRINA,2058, $2.881
TGL,TRIGLICERIDOS,1939, $2.715
TROPO,TROPONINA T (Tn-T),14077, $19.708
TSH,TSH - TIROTROFINA PLASMATICA,1116, $1.562
CDU,"UREA, CLEARENCE DE",1306, $1.828
UUREAL,UREAPLASMA UREALITICUM CULT.,65528, $91.739
URE,UREMIA,1055, $1.477
AUR,URICO ACIDO,1306, $1.828
AUUE,URICO ACIDO  EN ORINA OCASIONAL,1306, $1.828
AUU2,URICO ACIDO  en orina de 2 hs.,1306, $1.828
AUU,URICO ACIDO orina,1306, $1.828
UROANT,UROCULTIVO + ANTIBIOGRAMA,12724, $17.814
VDR,V.D.R.L. CUALITATIVA,1646, $2.304
VDC,V.D.R.L. CUANTITATIVA,2469, $3.457
FVTIP+,VAGINAL FLUJO C/TIP + Y ANTIBIOG.,17903, $25.064
AVM,VAINILLIN MANDELICO ACIDO,30575, $42.805
VAL,VALPROICO ACIDO,4953, $6.934
VARI G,VARICELA ANTIC.ANTI IgG IFI,17851, $24.991
VARI M,VARICELA ANTIC.ANTI IgM IFI,14684, $20.558
VB1,VITAMINA B1 - TIAMINA,42329, $59.261
B12,VITAMINA B12,3041, $4.257
VB6,VITAMINA B6 - PIRIDOXINA,42329, $59.261
VIC,VITAMINA C - ACIDO ASCORBICO,42329, $59.261
V25,"VITAMINA D3, 25 HIDROXI",11545, $16.163
ZIN,ZINC SERICO,16568, $23.195
