code,name,suggested_price_from_lab,price
CD56,CD 56 SUBPOBLAC. LINFOCITARIA POR CF,3178,"$4,131"
CD8,CD 8 SUBPOBLAC. LINFOCITARIA Citometria de fluj,3090,"$4,017"
CEA,CEA ANTIG CARCINOEMBRIONARIO,518,$674
CHAT,CHAGAS ANTIC. TOTALES,298,$388
CHI,CHAGAS IFI IgG,760,$988
CHM,CHAGAS IFI IgM,1021,"$1,327"
CHH,CHAGAS POR HEMAGLUTINACION IND HAI,792,"$1,029"
CLNE G,CHLAMYDIA PNEUMONIAE  IgG,1990,"$2,587"
CLNE M,CHLAMYDIA PNEUMONIAE  IgM,1990,"$2,587"
CLPS G,CHLAMYDIA PSITACCI  IgG,2140,"$2,782"
CLPS M,CHLAMYDIA PSITACCI  IgM,2868,"$3,729"
CLTR A,CHLAMYDIA TRACHOMATIS  IgA,4578,"$5,951"
CLTR G,CHLAMYDIA TRACHOMATIS  IgG,1990,"$2,587"
CLTR M,CHLAMYDIA TRACHOMATIS  IgM,1990,"$2,587"
CLTR Ag,CHLAMYDIA TRACHOMATIS Antigeno,14604,"$18,985"
CCL,CICLOSPORINA,5717,"$7,432"
CIS,CISTINURIA,2064,"$2,683"
CMV G,CITOMEGALOVIRUS ANTIC. IgG,638,$830
CMV M,CITOMEGALOVIRUS ANTIC. IgM,638,$830
CMV A,CITOMEGALOVIRUS ANTICUERPO ANTI,960,"$1,248"
CMV PCR,CITOMEGALOVIRUS-ADN,25222,"$32,789"
CIT,CITRICO ACIDO Orina,870,"$1,131"
CITRICO,CITRICO ACIDO Suero,523,$679
ACS,CITRICO ACIDO en plasma seminal,3257,"$4,234"
CBN,CLOBAZAN,2760,"$3,589"
CNZ,CLONAZEPAN,4288,"$5,574"
CLO,CLORO PLASMATICO,164,$213
CLOS,CLOSTRIDIUM DIFFICILE TOXINA A+B INVEST.DE,3947,"$5,131"
CLOZAP,CLOZAPINA DETERMINACION DE,5089,"$6,616"
COA,COAGULOGRAMA BASICO,532,$691
CU,COBRE EN SANGRE,6919,"$8,995"
CU-A,COBRE en agua,3300,"$4,290"
CU-U,COBRE en orina,6918,"$8,993"
COCAINA,COCAINA en orina,977,"$1,270"
COFACTOR,COFACTOR DE RISTOCETINA,5644,"$7,337"
HDL,COLESTEROL HDL,160,$209
LDL,COLESTEROL LDL,97,$126
COL,COLESTEROL TOTAL,191,$249
VLD,COLESTEROL VLDL,112,$146
COE,COLINESTERASA ERITROCITARIA,652,$847
C50,COMPLEMENTO Actividad total (CH50),748,$973
C1T,COMPLEMENTO C1 TOTAL (q+r+s),3313,"$4,306"
C1Q,COMPLEMENTO C1Q,5735,"$7,456"
C3,COMPLEMENTO INMUNOQ. C3,344,$447
C4,COMPLEMENTO INMUNOQ. C4,344,$447
CBI,COOMBS AGLUTININAS ANTI Rh,350,$455
CBD,COOMBS DIRECTA PRUEBA,294,$383
CMF,COPROCULTIVO,574,$747
CPO,COPROPORFIRINAS en orina,2648,"$3,443"
COR,CORTISOL PLASMATICO,441,$573
COR-S,CORTISOL SALIVAL,649,$843
COR-U,CORTISOL URINARIO,441,$573
COR-V,CORTISOL VESPERTINO,440,$572
COX B G,COXSACKIE B1-2-3-4-5-6 (IgG),5016,"$6,521"
COX B M,COXSACKIE B1-2-3-4-5-6 (M),4204,"$5,465"
CKM,CPK-MB,612,$796
CDC,CREATININA CLEARENCE O DEPURAC.,319,$415
AS-CR-U,CREATININA en orina,160,$209
CRE,CREATININA en sangre,160,$209
CPK,CREATINQUINASA CPK,362,$470
CRG,CRIOGLOBULINAS,663,$862
CRO-U,CROMO en Orina,4823,"$6,270"
CROMO,CROMO en Sangre,4823,"$6,270"
CROSS,CROSS MATCH MATRIMONIAL,51296,"$66,685"
CRYPTO,CRYPTOCOCCUS NEOFORMANS,1646,"$2,140"
CALCSAL,Calculo Salival,4192,"$5,450"
COV,Coronavirus SARS CoV2 (ARN),14070,"$18,291"
CRUE,Creatinina en orina espontanea,160,$208
DHEAS,DEHIDROEPIANDROSTERONA,3275,"$4,257"
ALA C,DELTA AMINO-LEVULINICO ACIDO,1819,"$2,364"
